new;old
"molybdenum";"molibdeno"
"molybdenum";"concentrado de molybdenum"
"antimony";"antimonio"
"antimony";"antimonium"
"antimony";"antimony."
"aluminium/bauxite";"aluminum/bauxite"
"ferroginous_clay";"arcilla ferruginosa"
"clay";"arcilla"
"limestone";"caliza"
"limestone";"calizas"
"limestone";"limestones"
"tungsten";"tungsteno"
"tungsten";"tugsteno."
"sand";"arenas"
"barite";"barita"
"tantalite";"tantalita"
"chrysotile";"crisotila \\(white amianto\\),"
"chrysotile";"crisotila"
"cement";"fabricacin de cemento"
"gravel";"grava, material de construccin"
"gravel";"gravas, material de construccin"
"gravel";"gravas"
"gravel";"grava"
"gravel";"material de construccin"
"gemstones";"emerald"
"gemstones";"other gems."
"gemstones";"jade"
"kaolin";"also known as china clay"
"phosphate";"phosphates"
"potassium";"potasio \\(potash\\)"
"potassium";"potash"
"thorianite";"torianite"
"vanadium";"vanadio"
"tin";"estao \\(tin\\)"
"pozzolana";"puzolana"
"coltan";"coltn"
"niobium";"columbita"
"stone_materials";"materiales ptreos"
"ferronickel";"ferro-nickel"
"gravel";"agregados-ridos"
"gravel";"crushed stone"
"iron_ore";"iron ore"
"chemical_products";"chemical products"
"crude_oil";"crude oil"
"rare_metals";"rare metals"
"tourism_services";"tourism services"
"industrial_waste";"industrial waste"
"recycled_metals";"recycled metals"
"biological_resources";"biological resources"
"sodium_borate";"sodium borate \\(borax\\)"
"titanium_ores";"titanium ores"
