new;old
base_and_ferroalloy_metals;iron_ore
base_and_ferroalloy_metals;steel
base_and_ferroalloy_metals;manganese
base_and_ferroalloy_metals;chrome
base_and_ferroalloy_metals;ferronickel
base_and_ferroalloy_metals;nickel
base_and_ferroalloy_metals;tungsten
base_and_ferroalloy_metals;molybdenum
base_and_ferroalloy_metals;vanadium
base_and_ferroalloy_metals;cobalt
base_and_ferroalloy_metals;niobium
base_and_ferroalloy_metals;coltan
base_and_ferroalloy_metals;copper
non_ferrous_metals;tin
non_ferrous_metals;zinc
non_ferrous_metals;lead
base_and_ferroalloy_metals;aluminumbauxite
base_and_ferroalloy_metals;titanium_ores
non_ferrous_metals;lithium
non_ferrous_metals;antimony
non_ferrous_metals;mercury
non_ferrous_metals;rare_metals
non_ferrous_metals;tantalite
non_ferrous_metals;tantalum
precious_metals;gold
precious_metals;silver
nonmetallic_minerals;phosphorus
nonmetallic_minerals;phosphate
nonmetallic_minerals;potassium
nonmetallic_minerals;salt
nonmetallic_minerals;limestone
nonmetallic_minerals;lime
nonmetallic_minerals;chemical_products
nonmetallic_minerals;silica
nonmetallic_minerals;cement
nonmetallic_minerals;asbestos
nonmetallic_minerals;chrysotile
nonmetallic_minerals;ferroginous_clay
nonmetallic_minerals;clay
nonmetallic_minerals;sand
nonmetallic_minerals;gravel
nonmetallic_minerals;kaolin
nonmetallic_minerals;barite
nonmetallic_minerals;sodium_borate
nonmetallic_minerals;pozzolana
nonmetallic_minerals;stone_materials
energy_sources;coal
energy_sources;coke
energy_sources;crude_oil
non_ferrous_metals;uranium
non_ferrous_metals;thorianite
biological_resources;land
biological_resources;water
biological_resources;timber
biological_resources;rubber
nonmetallic_minerals;diamonds
nonmetallic_minerals;gemstones
