new;old
creation of alternative reports/knowledge;elaboration and implementation of an environmental education program among local inhabitants.\nelaboration of scientific materials regarding the ecological importance of the podocarpus. \ndocumentaries
creation of alternative reports/knowledge;planteamiento de alternativas a travs de diversos artculos en pginas web como aporrea
creation of alternative reports/knowledge;espacios de formacin e investigacin alternativa sobre extractivismo y minera
development of alternative proposals;alternative preventive legislative proposals were rejected \\[7\\].  environmental licensing was done too quickly in december 2018.
development of alternative proposals;planteamiento de alternativas a travs de diversos artculos en pginas web como aporrea
media based activism/alternative media;divulgacin en medios de comunicacin
street protest/marches;se produjeron mltiples denuncias canalizadas a travs de las instituciones oficiales, se realizaron diversas marchas, algunas en la propia ciudad de caracas o bien movilizaciones de organizaciones que se dirigen a los territorios yukpa y la progresiva ocupacin de haciendas en la sierra, con la respectiva fundacin de comunidades yukpa, lo que supone para estos un rescate de sus tierras anteriormente arrebatadas.
street protest/marches;horonami ha realizado marchas a puerto ayacucho, capital del estado amazonas, en reclamo por la mejora de las malas condiciones de salud en las cuales se encuentran los yanomami. tambin la organizacin manifestado pblicamente el rechazo a la anterior ministra de pueblos indgenas, nicia maldonado, por intentar dividirlos.
street protest/marches;misas campales, marchas
street protest/marches;marchas y caminatas
street protest/marches;marchas
street protest/marches;protests in canadian \\(company origin\\) embassy
retention or kidnapping;a principios de 2015 los pueblos indgenas del caura retuvieron al comandante de puesto gianfranco giordani leal junto a nueve militares ms en respuesta a los maltratos de stos y a la situacin general en la zona debido a la minera ilegal \\(kuyujani, 2015\\).
retention or kidnapping;secuestro temporal de geologos - kidnapping of geologists, few days
retention or kidnapping;en 2011, en el sector la paragua, un grupo de indgenas, principalmente del pueblo pemn, desarmaron y retuvieron a 22 efectivos militares en la mina tonoro sealndolos de estar involucrados en la minera ilegal en esta zona.
retention or kidnapping;retencin de trabajadores de la empresa en proceso de construccin del mineroducto.
retention or kidnapping;captura de trabajadores mineros \\(peasants retain mining workers\\)
artistic and creative actions (eg guerilla theatre, murals);"travesa \""un abrazo a la montaa\"" \\[1\\]."
artistic and creative actions (eg guerilla theatre, murals);"travesa \""un abrazo a la montaa\"", una jornada de cinco das con 120 personas por todo el suroeste del departamento de antioquia, planeada por diversas organizaciones y personas articuladas en el cinturn occidental ambiental, coa, llamado as para interpelar la verdadera vocacin de la zona denominada cinturn de oro de colombia \\[1\\]."
artistic and creative actions (eg guerilla theatre, murals);teleton y festivales artistico-musicales
artistic and creative actions (eg guerilla theatre, murals);campaa pblica con creativos recursos audiovisuales y expresiones artsticas, como las del colectivo fuga  o de ladanta lascanta
objections to the eia;objections to the eia  claiming the accumulative impacts of the project adding the  belo monte dam
new environmental impact assessment/study;estudio de calidad del agua
new environmental impact assessment/study;exigencia de nuevos estudios de impacto \\(eia\\)
new environmental impact assessment/study;organizaciones indgenas como kap kap hacen llamados y denuncias al ministerios del ambiente, incluso al presidente de la repblica ante la alarmante situacin de contaminacin que sufren los warao en sus tierras. fundacin la salle hace estudios donde evidencia que la contaminacin por mercurio en el ro caura est afectando a pueblos varios pueblos indgenas, siendo uno de los ms perjudicados, los warao.
new environmental impact assessment/study;estudios de impactos de la mineria en la salud
(proposal of) declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;declaratoria de santa barbara como municipio ecologico, contra la mina el mochito
(proposal of) declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;proposal to declare the dunas de put a nature sanctuary
(proposal of) declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;declaratoria de territorios ecolgicos
(proposal of) declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;new religious pilgrimage instituted
presentation of the case to the permanent peoples tribunal;presentation to the case to the popular peoples tribunal
presentation of the case to the permanent peoples tribunal;presentation to the case to the permanent peoples tribunal.
presentation of the case to the permanent peoples tribunal;presentation to the case to the permanent peoples tribunal
general assemblies, public forums or discussion tables;general assamblies
general assemblies, public forums or discussion tables;"forums, \""deliberacin democrtica\"""
general assemblies, public forums or discussion tables;movilizaciones de calle como la concentracin convocada por organizaciones polticas y movimientos sociales en las adyacencias de la sede del ministerio de petrleo y minera, ubicado en pdvsa-la campia, en caracas el da 31 de marzo de 2016 , la concentracin realizada en las inmediaciones del tribunal supremo de justicia \\(caracas\\) el 31 de mayo de 2016 para acompaar la entrega del recurso de nulidad , o la realizada en el ministerio de finanzas como parte de las movilizaciones del da mundial contra la mega-minera \\(22-julio\\) , as como foros pblicos como el efectuado el 30 de marzo de 2016 en la sede de la unearte en caracas, y donde varios colectivos del movimiento popular dan inicio a la lucha contra el decreto del arco minero del orinoco .
general assemblies, public forums or discussion tables;mesas  discusin \\(jornadas de alcoa\\) en centros universitarios.
general assemblies, public forums or discussion tables;12 hour public assembly against the eia
general assemblies, public forums or discussion tables;public hearings
lawsuits, court cases, judicial activism;casos en la corte, activismo judicial, demandas de indemnizacion
lawsuits, court cases, judicial activism;las organizaciones e individualidades que convergen en la plataforma por la nulidad del decreto del arco minero del orinoco han introducido un recurso de nulidad del decreto nro. 2.248 del 24 de febrero de 2016 .
lawsuits, court cases, judicial activism;en 2018 falta todava presentar el eia. se ha introducido en la autoridad judicial un amparo preventivo contra la minera. \\(7\\)
official complaint letters and petitions;a parte de la publicacin constante de declaraciones, la organizacin horonami ha introducido denuncias en el ministerio pblico, la defensora del pueblo, la fiscala 7 ambiental del estado amazonas, la 52 brigada de la infantera de selva y la comisin de pueblos indgenas de la asamblea nacional solicitando que se abra una averiguacin sobre los impactos de la minera ilegal en la zona del alto ocamo y la adopcin de medidas necesarias por parte de los organismos del estado venezolano.
official complaint letters and petitions;los indgenas del alto paragua han realizado varias declaraciones, denuncias y peticiones a travs de cartas, en relacin a los maltratos por parte de efectivos militares, las amenazas que representan los grupos armados irregulares para su seguridad, o bien por los desalojos de las minas, sin que se produzca ninguna compensacin o reubicacin en minas permitidas por parte del gobierno nacional, en el marco de sus planes para erradicar la minera ilegal en la zona. dos meses despus de la promulgacin del decreto presidencial para la nacionalizacin de la actividad aurfera en 2011, ocho capitanes indgenas introdujeron un recurso de nulidad del decreto, el cual fue rechazado por el tribunal supremo de justicia.
official complaint letters and petitions;diversas organizaciones indgenas se han trasladado a veces a la capital del pas y han consignado sus denuncias y pruebas sobre este problema a la fiscala general de la repblica, la defensora del pueblo, el ministerio de la defensa y el ministerio de pueblos indgenas. pueblos indgenas eepa y hoti de san jos de kayam, u organizaciones como orpia y apiven, han realizado varias peticiones a diversas escalas \\(estatal, regional, municipal\\) en relacin a la penetracin de sus territorios por parte de grupos armados provenientes de colombia, y en general al problema de la minera ilegal en la zona. wilson rojas, presidente de la comisin de asuntos indgenas del consejo legislativo del estado amazonas, denunci en 2009 la explotacin de indgenas en la extraccin ilegal de coltn y realiz gestiones para el desalojo de minas de este tipo.
official complaint letters and petitions;recolecta de firmas contra el proyecto como la realizada por el movimiento ecolgico de venezuela .
official complaint letters and petitions;peticiones y reclamos
official complaint letters and petitions;peticion de referendum nacional
;
blockades;bloqueo de suministro de agua \\(blockade of water flow\\)
blockades;en protesta por las acciones de violencia que los llamados sindicatos mineros ejercen contra los indgenas, estas comunidades originarias organizan un bloqueo de la paragua, el cual fue disuadido de no realizarse debido a negociaciones con la polica regional.
blockades;the activists maintained the alto carrizal roadblock day and night for over one year, but were selective in whose passage they block \\(2012\\).
blockades;territorial control
blockades;"blockades of roads, called \""corte de rutas\"" in argentina in this and other cases."
development of a network/collective action;como forma de defensa comunitaria y de sus recursos y territorios, varios indgenas del alto paragua se organizan y fundan en la mina tonoro la comunidad independiente de musuk pa, desde la cual ejercen la minera en el sector, establecen sus propias pautas comunitarias de vida y han creado sus propias estructuras de autodefensa contra los numerosos peligros que los acechan.
development of a network/collective action;"creacin de la iniciativa \""fuerza de mujeres wayuu\"": es una de las experiencias organizativas de la guajira. entre sus objetivos est conseguir que las comunidades y las familias comprendan, asimilen y hagan suya la situacin del pueblo wayu. enfatiza en la relacin que hay entre megaproyectos y los desplazamientos forzados o aquellos que tcnicamente, las empresas y el estado, llaman reasentamientos voluntarios."
development of a network/collective action;creacin del tribunal de la salud  para denunciar daos de la minera a la salud de las poblaciones aledaas
development of a network/collective action;comit de vigilancia permanente
referendum other local consultations;sipakapa public consultation under convention 169 of ilo, important precedent in guatemala and latin america
referendum other local consultations;public consultation in district of torata
public campaigns;campaas de concientizacin a la poblacin sobre el tema. propuesta al concejo deliberante municipal de llevar adelante un plebiscito.
land occupation;the mining camp occupation and expulsion of the mining workers.
