new;old
neighbours/citizens/communities;ronderos
neighbours/citizens/communities;familiares de los accidentados
neighbours/citizens/communities;consejos comunales
neighbours/citizens/communities;consejos educativos
neighbours/citizens/communities;communal leaders
neighbours/citizens/communities;cuerpo de bomberos
local ejos;centro de derechos humanos y ambiente \\(cedha\\)
local ejos;comite de salud local
local ejos;movimiento ambiental local
local ejos;local ejos.
farmers;agricultores
farmers;ejidatarios
farmers;ganaderos, cattle farmers
farmers;rondas campesinas
farmers;"as often in the region of cajamarca, the \\""farmers\\"" \\(peasant local organizations\\) have been active"
indigenous groups or traditional communities;geraizeiros, traditional communities of the north of minas gerais
indigenous groups or traditional communities;aymara population
indigenous groups or traditional communities;aparai, wayana and wajpi indigenous groups
indigenous groups or traditional communities;comunidad huarpe guaytamari
indigenous groups or traditional communities;comunidades indigenas maya mam
indigenous groups or traditional communities;comunidades indgenas
indigenous groups or traditional communities;politicas indgenas locales \\(crescencia prado
indigenous groups or traditional communities;integrantes de los pueblos indgenas del alto paragua se movilizan y conforman una comunidad a raz del levantamiento de la paragua de 2011 y la ocupacin de la mina tonoro, y fundan la comunidad musuk pa, una comunidad independiente ubicada en el alto paragua y que posee sus propias reglas destaca el liderazgo de alexis romero, pemn del pueblo taurepn, quien se convierte en el capitn de musuk pa
indigenous groups or traditional communities;mapuche-tehuelche
indigenous groups or traditional communities;mapuche population
indigenous groups or traditional communities;maroon community
indigenous groups or traditional communities;mapuche
indigenous groups or traditional communities;maya mam indigenous communities
indigenous groups or traditional communities;nahua communities
indigenous groups or traditional communities;pobladores de origen kolla
indigenous groups or traditional communities;pueblo maya mam
indigenous groups or traditional communities;quilombola communities
indigenous groups or traditional communities;quilombolas and krenak
indigenous groups or traditional communities;quilombolas
indigenous groups or traditional communities;xikrin indigenous peoples
indigenous groups or traditional communities;zoque
indigenous groups or traditional communities;indigenous tolupanes
social movements;grupos de derechos humanos
social movements;human rights networks
social movements;social movement.
social movements;red de asistencia jurdica contra la megaminera \\(redaj\\)
women;una mujer, juana payaba cachique, ha sido lideresa shipiba
women;women activism
ethnically/racially discriminated groups;comunidades afrodescendientes
trade unions;sindicato de trabajadores del proyecto minero
trade unions;articulao internacional dos atingidos e atingidas pela vale also, iglesias y minera \\[15\\]  also the cut \\[16\\]  and local miners' unions
industrial workers;miners, mining workers
industrial workers;trabajadores de la minera
industrial workers;trabajadores industriales
industrial workers;ex-workers
recreational users;residentes norte americanos, turistas y dems extranjeros, cmara de comercio e industria
conservationists;conservationist organization \\(wwf\\)
conservationists;conservationist groups
conservationists;sectores conservacionistas
national governmental actors;senators \\(parliament\\)
national governmental actors;governamental inspectors \\(ibama\\)
youth;estudiantes
youth;grupos de jvenes, organizaciones de maestros \\(sector educacin\\)
youth;grupos de jvenes
youth;youth groups
international politics;diputados britanicos
international politics;government of nicaragua \\(neighbouring state\\)
