new;old
local_people;neighbours/citizens/communities
local_people;recreational users
local_people;conservationists
local_people;youth
organization;local ejos
organization;social movements
organization;local government/political parties
organization;international ejos
organization;religious groups
organization;trade unions
organization;international politics
organization;national governmental actors
economic_actors;farmers
economic_actors;local scientists/professionals
economic_actors;artisanal miners
economic_actors;fisher people
economic_actors;industrial workers
economic_actors;pastoralists
economic_actors;landless peasants
economic_actors;informal workers
excluded_marginalized;indigenous groups or traditional communities
excluded_marginalized;women
excluded_marginalized;ethnically/racially discriminated groups
