new;old
criminalization of activists;ha habido declaraciones oficiales que criminalizan peligrosamente las protestas contra el amo
criminalization of activists;enjuiciamientos de activistas.
deaths, assassinations, murders;la muerte de un indgena a manos de mineros en 2013 representa, en palabras de  ramn tomedes, presidente de medewadi, el prembulo a una bomba de tiempo que puede estallar en cualquier momento, haciendo que los indgena se rebelen para defenderse y exigir un trato ms justo \\(garca, 2013\\).
deaths, assassinations, murders;las muertes de yanomami vinculadas a la minera ilegal plantean una seria amenaza a la supervivencia de este pueblo originario. masacres ocurridas en tiempos anteriores muestran los peligros que pueden correr los indgenas.
deaths, assassinations, murders;masacres
deaths, assassinations, murders;assassination of environmental activist alfredo ernesto vracko neuenschwander
deaths, assassinations, murders;los indgenas siguen sufriendo gran violencia en sus territorios y continan asesinando yukpas \\(el ltimo fue en julio de 2016\\). sus muertes siguen impunes. los autores intelectuales del asesinato de sabino romero no han sido sealados ni encarcelados.
deaths, assassinations, murders;death of maria choque, killed by police in 2011. the company is pursuing an international arbitration proceeding against the republic of peru under the canada-peru free trade agreement \\(\"tpa\"\\) before the international centre for settlement of investment disputes in washington d.c.
violent targeting of activists;amenazas de muerte, incendio de la casa de dirigente
violent targeting of activists;lderes indgenas como el capitn de la comunidad de musuk pa, alexis romero, han denunciado hostigamiento por parte de las autoridades oficiales.
violent targeting of activists;use of  \"golpeadores\" hired by the company, to beat up people who complain
violent targeting of activists;hostigamiento a los activistas
violent targeting of activists;yolanda oqueli de la organizacin frenam despus de participar en una manifestacin pacfica en contra del proyecto minero fue tiroteada y una bala se le aloj muy cerca del hgado.
migration/displacement;algunas pocas medidas compensatorias provenientes de polticas pblicas difcilmente pueden remediar los males que sufren estos pueblos indgenas. no se ha cumplido la demarcacin de tierras, lo cual es un mandato constitucional. la organizacin indgena, que anteriormente haba tenido ms fuerza, ha sido mermada, entre otras cosas, por la destruccin socio-ambiental y por la cooptacin de las mismas. la debilidad de estas organizaciones dificulta sobremanera que sus peticiones puedan ser odas. uno de los mecanismos que ejercen los pueblos originarios para paliar estas afectaciones son las migraciones, que en este caso suelen dirigirse a las ciudades. las fuentes de contaminacin que los afectan en el bajo delta siguen creciendo y en puertas aparece el relanzamiento de nuevos proyectos como el arco minero del orinoco, la plataforma deltana y el crecimiento de la faja petrolfera del orinoco.
migration/displacement;displacement of a whole village
court decision \\(undecided\\);court case in progress.\nthe aymara community of cancosa is suing bhp billiton for water rights and environmental damage.
court decision \\(undecided\\);law-suits are ongoing \\(2014\\)
court decision \\(victory for environmental justice\\);successful criminal prosecution of owner of mining firm
court decision \\(undecided\\);remains to be seen. there will be court cases, calls for compensation.
court decision \\(victory for environmental justice\\);the public procurator has indicted sama, asking for reparations.
new legislation;argentinas congress passed a law in september 2010 that seeks to protect environmentally sensitive glaciers by imposing strict limits on mining. the measure prohibits mining near glaciers along argentina's border with chile.
application of existing regulations;las mineras son multadas pero a pesar de eso siguen contaminando
application of existing regulations;penalizaciones a la empresa por derrames.
application of existing regulations;application of international regulation \\(ilo 169\\)
strengthening of participation;referendum o consultas populares como en el municipio de piedras, que la compaa quiere usar para embalses de lodos.
project cancelled;after the referendum the company decided to stop the project.
project cancelled;decisin de rechazar el proyecto por parte de la legislatura de mendoza
project temporarily suspended;the gold corp company suspended the project, because of opposition in el salvador \\(trns-frontier project\\) and because of low prices for gold in 2013.
under negotiation;compensations in negotiation
negotiated alternative solution;solucion alternativa negociada
negotiated alternative solution;a resettlement plan
new environmental impact assessment/study;estudios de contaminacion en el agua
declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;apelacion al congreso de la union\n\nconvenio 169\n\ndeclaracion como pueblo mgico para el turismo
declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;also angangueo was notified in 2012 as a pueblo mgico, for tourist attraction.
declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;an alliance has been sought between local farmers and inhabitants concerned with water from the pramo and conservationist organizations, to declare the pramo del almorzadero as a nature reserve.
declaration of location as ecological municipality, natural or religious sanctuary or cultural heritage;aprobacin del proyecto de ley declarando a sierra de la ventana como paisaje protegido de inters provincial de la
withdrawal of company/investment;the mining company was expulsed
withdrawal of company/investment;the company left the area after finishing its exploration activities.
